,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alt,des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mach,des,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
aoa,des,-2.0069,-0.869719,9.61433,1.5778,-2.67333,-9.26894,2.18375,-9.82849,-1.43256,-3.24237,0.742168,8.50264,-6.46609,-5.62147,6.34162,4.54473,-8.23724,9.94365,1.27694,5.47899,-4.30337,-8.81511,0.163958,4.76242,9.5905,-7.5768,6.096,3.96129,8.83292,7.16746,0.402471,7.29725,3.03382,-0.706845,-5.55539,8.76108,2.90429,1.75791,7.72534,-8.51153,6.78829,0.84573,-3.96295,3.5573,-2.43861,-0.48217,0.396608,2.6597,-1.7724,-6.64516,5.81069,1.12843,-4.68865,8.09934,-5.85462,7.99944,-6.30968,-3.52531,6.53368,-9.4572,-5.16654,-5.34869,-4.4649,4.33931,3.27323,3.67307,-1.03116,2.44898,4.17563,-9.16361,-7.1494,5.338,8.20075,-3.71782,6.90011,-0.0721915,-9.6908,-2.96005,-7.36367,-4.87303,9.1912,-6.95099,-2.26408,-7.85547,-3.07678,-6.07458,9.29791,-8.6928,7.49884,-1.32142,2.39579,5.61045,1.99851,5.15215,-7.69218,-4.0821,-1.93708,-0.292983,-8.08366,4.99449
aos,des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl,obj,-0.0161329,0.0916952,1.07353,0.322434,-0.0793743,-0.703945,0.379131,-0.756769,0.0383539,-0.133368,0.243936,0.967662,-0.43891,-0.35892,0.763782,0.600056,-0.606466,1.10495,0.294212,0.693538,-0.234,-0.661078,0.189747,0.621898,1.07126,-0.544016,0.742382,0.544694,0.999125,0.839257,0.211928,0.851867,0.458342,0.107117,-0.35266,0.992282,0.446297,0.339307,0.893944,-0.632392,0.803768,0.253683,-0.201711,0.507025,-0.0571013,0.128379,0.21137,0.423525,0.00611959,-0.455862,0.718498,0.280264,-0.270481,0.929384,-0.381006,0.91994,-0.424101,-0.160208,0.780745,-0.721721,-0.315822,-0.33308,-0.249312,0.58031,0.480609,0.517801,0.0764021,0.403885,0.564814,-0.693998,-0.503583,0.682443,0.938967,-0.178471,0.814353,0.167144,-0.743774,-0.106581,-0.523855,-0.288012,1.03322,-0.484808,-0.0405396,-0.570371,-0.117657,-0.401839,1.04337,-0.649521,0.871896,0.0488917,0.398924,0.703774,0.36182,0.668034,-0.554929,-0.213023,-0.00950686,0.146251,-0.591947,0.652331
cd,obj,0.00028614,0.000386041,0.040724,0.0034051,0.000611531,0.0191457,0.00474309,0.0220017,0.000233314,0.00111409,0.001945,0.0329961,0.00787055,0.00544786,0.0199825,0.0122603,0.0144074,0.0432025,0.00282739,0.0161879,0.00260332,0.0169772,0.000196975,0.0132098,0.0405469,0.0117353,0.018722,0.0100278,0.0351555,0.0245433,0.00149061,0.0253569,0.00702441,0.000468063,0.00527564,0.0346717,0.0066374,0.00377821,0.0281386,0.0156004,0.0223497,0.00210093,0.00201348,0.00864258,0.000464553,0.000608956,0.0014981,0.00595714,0.000239096,0.00844038,0.0171792,0.00256339,0.0031265,0.0304443,0.00607376,0.0298334,0.00738843,0.00143608,0.0209788,0.0200841,0.00435845,0.00477766,0.00288182,0.0114371,0.00773567,0.00902777,0.000321527,0.00540194,0.010812,0.0186306,0.0101552,0.0158286,0.0310652,0.00169627,0.0229981,0.000927046,0.0212802,0.000838892,0.0109328,0.00373968,0.0376227,0.00946121,0.000378104,0.012828,0.000946506,0.00669349,0.0383955,0.0164154,0.02668,0.000247432,0.00526624,0.0164528,0.00430936,0.015328,0.0121816,0.00225173,0.000268458,0.000811642,0.0137606,0.0146701
cs,const,-1.46092e-06,-7.33519e-08,4.40458e-05,-1.91333e-05,-1.95937e-06,-4.64475e-06,-2.33752e-05,-3.57069e-06,-1.10282e-06,-1.67587e-06,-1.0076e-05,-3.31347e-06,4.57498e-05,4.10214e-05,8.04556e-06,3.59664e-06,-2.2131e-06,1.41154e-05,-1.60216e-05,7.31e-06,3.12883e-05,-4.9269e-06,-5.75872e-05,4.02216e-06,4.04694e-05,3.38581e-05,7.91189e-06,2.98273e-06,-2.76223e-05,1.05734e-05,1.64868e-05,8.60096e-06,0.000130665,3.23711e-06,4.0823e-05,-2.18876e-05,-2.55113e-05,-1.67095e-05,7.80872e-06,-4.23054e-06,7.21355e-06,-1.12927e-05,5.29554e-05,1.07453e-06,-1.82223e-06,4.22379e-07,2.61918e-05,-2.18227e-05,-1.31074e-06,4.4831e-05,6.61266e-06,-1.44357e-05,5.46054e-05,8.26541e-06,4.16341e-05,1.32218e-05,4.58849e-05,-4.62807e-05,8.94344e-06,-4.14786e-06,3.87376e-05,3.96633e-05,2.9039e-05,3.52242e-06,4.64027e-06,2.36468e-06,7.05947e-07,-2.35996e-05,3.26109e-06,-5.14617e-06,4.23842e-05,6.73946e-06,1.0962e-05,3.85513e-05,8.9589e-06,-6.00235e-06,-3.80727e-06,-2.04554e-06,3.91237e-05,6.32987e-05,3.85441e-05,4.3751e-05,-1.67554e-06,1.60249e-05,-2.44275e-06,4.43624e-05,3.47751e-05,-4.6947e-06,5.09002e-06,-8.84905e-07,-2.36974e-05,6.03481e-06,-2.23597e-05,4.94735e-06,2.77962e-05,3.55049e-05,-1.40337e-06,-2.6791e-06,1.42971e-06,5.72813e-06
cml,const,-1.13776e-05,-3.09209e-07,0.000366935,-0.00015843,-1.52466e-05,-3.52248e-05,-0.000193212,-2.62021e-05,-8.60758e-06,-1.26989e-05,-8.33416e-05,-3.05822e-05,0.000377288,0.000339015,6.50414e-05,2.87251e-05,-1.65141e-05,0.000118068,-0.000132667,5.96613e-05,0.00025836,-3.78327e-05,-0.000499672,3.23098e-05,0.000337279,0.000276393,6.38766e-05,2.3763e-05,-0.000231124,8.60576e-05,0.000143598,6.91838e-05,0.00106315,2.70073e-05,0.00033743,-0.000183566,-0.000208862,-0.000137963,6.23623e-05,-3.24125e-05,5.70744e-05,-9.34482e-05,0.000439349,7.86668e-06,-1.41939e-05,3.66631e-06,0.000227002,-0.000179696,-1.02187e-05,0.00036936,5.32686e-05,-0.000119523,0.000458877,6.68622e-05,0.000343886,0.000108144,0.000378907,-0.000380361,7.28234e-05,-3.11435e-05,0.000320271,0.000327885,0.000238119,2.82256e-05,3.69922e-05,1.86614e-05,6.19259e-06,-0.000194756,2.61203e-05,-3.93644e-05,0.000348083,5.49492e-05,8.83941e-05,0.000318439,7.229e-05,-5.12255e-05,-2.81652e-05,-1.58634e-05,0.000320368,0.000531276,0.0003148,0.000359863,-1.30515e-05,0.00013047,-1.91075e-05,0.000366596,0.000282034,-3.60172e-05,3.84278e-05,-6.8425e-06,-0.000195625,4.87404e-05,-0.000184949,3.97249e-05,0.000226366,0.000294937,-1.0929e-05,-2.49184e-05,1.25984e-05,4.65487e-05
cmd,const,1.23846e-06,2.54624e-07,-4.093e-05,8.25324e-06,1.65045e-06,3.96526e-06,1.00394e-05,3.10059e-06,9.04765e-07,1.66752e-06,4.32461e-06,-3.74523e-07,-1.80741e-05,-1.65527e-05,-7.18445e-06,-3.06616e-06,3.25419e-06,-2.06149e-05,6.88317e-06,-6.80634e-06,-1.2806e-05,4.2498e-06,2.16918e-05,-3.78066e-06,-3.81902e-05,-1.24254e-05,-7.21188e-06,-2.62909e-06,1.42395e-05,-9.06699e-06,-6.36376e-06,-7.97949e-06,-6.64117e-05,-1.30619e-06,-1.64998e-05,1.05941e-05,1.11549e-05,7.26151e-06,-7.55933e-06,3.88655e-06,-6.16249e-06,4.84544e-06,-2.2535e-05,-1.43211e-06,1.52512e-06,-9.89387e-08,-1.02107e-05,9.30138e-06,1.10132e-06,-1.73865e-05,-5.29242e-06,6.19677e-06,-2.28925e-05,-1.14717e-05,-1.66958e-05,-1.12003e-05,-1.83052e-05,2.17719e-05,-7.61844e-06,3.7304e-06,-1.57484e-05,-1.60769e-05,-1.17862e-05,-3.23661e-06,-3.4231e-06,-2.41281e-06,-4.68228e-08,1.01353e-05,-3.13698e-06,4.24055e-06,-1.67756e-05,-6.38733e-06,-1.29366e-05,-1.62728e-05,-8.73917e-06,2.3892e-06,3.23353e-06,1.76374e-06,-1.49279e-05,-2.70676e-05,-2.69815e-05,-1.71756e-05,1.40981e-06,-4.47708e-06,1.9729e-06,-1.78113e-05,-2.15449e-05,4.17572e-06,-3.59117e-06,7.71277e-07,1.01286e-05,-5.26421e-06,9.64676e-06,-4.2345e-06,-9.64502e-06,-1.46971e-05,1.19182e-06,7.39821e-07,1.68537e-06,-5.26788e-06
cms,const,0.204405,-0.275412,-4.55532,-1.29429,0.486632,3.28486,-1.54251,3.52081,-0.0382832,0.727988,-0.9491,-4.09213,2.0976,1.73873,-3.20319,-2.50754,2.84872,-4.69275,-1.17038,-2.93459,1.17858,3.09317,-0.711512,-2.60812,-4.54538,2.56892,-3.1158,-2.26326,-4.22986,-3.52444,-0.807872,-3.58084,-1.88773,-0.343877,1.71064,-4.1999,-1.83535,-1.36826,-3.77041,2.96479,-3.37039,-0.992051,1.03385,-2.09931,0.38717,-0.438193,-0.805383,-1.73621,0.105239,2.17364,-3.02172,-1.10906,1.34172,-3.92501,1.83782,-3.8839,2.03116,0.848074,-3.27327,3.3643,1.54545,1.62284,1.24718,-2.41952,-1.98453,-2.14615,-0.207477,-1.65059,-2.35128,3.24039,2.38766,-2.8944,-3.9667,0.929844,-3.41682,-0.60995,3.46279,0.608207,2.47855,1.42079,-4.37898,2.30346,0.313256,2.68703,0.657725,1.93129,-4.4234,3.04146,-3.67193,-0.0851673,-1.62894,-2.9715,-1.46682,-2.84366,2.61783,1.08462,0.174869,-0.517299,2.78369,-2.7728
