,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alt,des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mach,des,0.15337,0.348785,0.117524,0.145551,0.165502,0.106413,0.231957,0.461037,0.452716,0.187998,0.445932,0.125984,0.481307,0.405056,0.112943,0.487517,0.156672,0.242869,0.266132,0.22104,0.457161,0.123074,0.41383,0.410886,0.426006,0.479889,0.32408,0.332128,0.196963,0.336898,0.201859,0.236266,0.384731,0.391752,0.207024,0.282088,0.175616,0.21685,0.465156,0.353319,0.375288,0.208766,0.443762,0.310165,0.320399,0.102012,0.235273,0.428652,0.29222,0.253929,0.488405,0.135832,0.150165,0.269044,0.448948,0.109295,0.299831,0.394383,0.438877,0.340718,0.190967,0.314164,0.367599,0.193152,0.398577,0.142026,0.473304,0.170497,0.380723,0.303886,0.248396,0.492061,0.470494,0.434206,0.346849,0.291164,0.304174,0.272718,0.359494,0.361901,0.420372,0.278172,0.256059,0.41712,0.176418,0.212927,0.136053,0.247267,0.370819,0.377585,0.182965,0.260587,0.225743,0.160828,0.287181,0.128445,0.499646,0.400024,0.329281,0.317349
aoa,des,2.13929,-6.63384,4.53839,5.50172,7.89551,-6.95366,3.19912,0.629844,7.18455,-1.80027,-5.39885,3.81127,-8.14117,0.891278,-8.62703,-4.52871,3.2975,-3.41582,-6.12077,-1.6904,9.18773,-9.17535,-4.76808,9.47507,8.47584,-2.82737,4.18748,1.33994,-1.17985,5.83125,7.35163,-8.5049,-3.37766,2.93231,1.61138,-4.88626,-7.49402,8.21008,-9.56749,-1.24492,-4.22933,6.84515,-2.70184,-2.07688,5.04212,2.39206,-5.13764,6.29907,-4.19094,9.96042,-5.99903,4.74977,-7.70191,0.165064,-0.329073,8.86279,7.64932,0.50121,7.532,4.22132,-6.49503,3.54224,1.82149,-3.92244,-5.66544,0.253533,-8.96654,-8.28401,-1.5864,4.90638,1.03881,-6.35615,-0.993823,-0.102252,9.64016,2.79347,8.14073,5.62834,-5.40572,-3.09973,2.48835,-3.6827,-7.32809,-7.15557,-9.66862,-0.41715,3.63859,-0.664531,-9.33812,8.76815,1.47634,5.30229,6.411,6.79244,9.39658,-2.2445,-7.89057,6.18968,-9.86943,-2.41907
aos,des,1.3814,-1.82849,-0.0653075,-0.948649,1.03994,0.76705,-0.497101,1.34661,0.982679,1.19266,-1.88144,0.0445339,1.31762,1.15401,-1.70653,1.60981,-1.07521,1.88988,-1.58468,1.2379,-1.63391,-1.76246,0.343197,1.07995,1.93452,-0.347381,-0.980079,1.72135,-0.0366893,0.736133,0.0347944,-1.13403,1.41394,-1.25357,-0.672739,-1.84164,1.84863,1.82725,-0.711197,0.62176,-0.777931,-0.173103,-1.37612,-1.2178,0.221085,1.11488,-1.96554,-0.577466,-0.456065,0.578464,1.96837,0.837274,-1.51325,-0.830112,0.411878,0.487155,0.696168,-0.756533,0.47779,-1.16548,-0.281293,1.27683,0.153104,1.44088,-0.258576,-1.10681,0.186991,-0.873551,-1.00721,0.652519,1.54736,-1.73461,-1.53971,1.77322,-1.31296,1.50621,-1.94306,0.88697,0.937522,0.865985,-0.910293,0.393792,-0.225837,1.66439,-0.617043,-0.436796,0.0844774,-0.398337,0.271473,-0.151981,1.68963,-1.64865,0.525861,-1.32964,-1.40628,0.31846,-0.547003,-1.45807,-0.0945604,1.59257
cl,obj,0.37491,-0.453562,0.599408,0.680403,0.908427,-0.489271,0.473179,0.233386,0.840668,0.00410392,-0.336738,0.530678,-0.596626,0.257986,-0.641896,-0.254678,0.482535,-0.149097,-0.405349,0.0139134,1.03208,-0.693447,-0.278023,1.05985,0.963112,-0.0939671,0.564421,0.300138,0.0623116,0.710755,0.857379,-0.631162,-0.145797,0.448664,0.325581,-0.288296,-0.534793,0.938377,-0.731839,0.0561802,-0.226827,0.808012,-0.081769,-0.0230885,0.645649,0.398396,-0.311937,0.760232,-0.223354,1.10646,-0.393377,0.615988,-0.554911,0.189558,0.14278,1.00154,0.883948,0.218171,0.872717,0.567121,-0.441236,0.505021,0.341475,-0.197394,-0.271801,0.197916,-0.675364,-0.610576,0.0239319,0.631742,0.271862,-0.427433,0.0801145,0.164384,1.07553,0.435776,0.931703,0.692997,-0.265073,-0.11969,0.406164,-0.175104,-0.542346,-0.503089,-0.741454,0.134533,0.514586,0.111133,-0.710435,0.99298,0.312925,0.660368,0.771849,0.801698,1.0518,-0.0386609,-0.575474,0.744184,-0.760628,-0.0549522
cd,obj,0.00474233,0.00853365,0.0122327,0.0157148,0.028968,0.0290109,0.00853338,0.0018631,0.0248639,0.000300447,0.00504694,0.00949947,0.0140867,0.00222484,0.0161996,0.00312869,0.00788501,0.00147889,0.00692622,0.000298523,0.0379236,0.0187571,0.00348919,0.0398828,0.0336903,0.000732819,0.0108241,0.00307618,0.000277365,0.0173893,0.0257218,0.0156152,0.00135882,0.00685172,0.00349005,0.00387756,0.0115534,0.0312293,0.020653,0.000280209,0.00250309,0.0225804,0.000723175,0.000380276,0.0141887,0.00549815,0.00444813,0.0199444,0.0026342,0.0433934,0.00663629,0.0129612,0.0123367,0.00122737,0.000964839,0.035407,0.0273158,0.0104137,0.0265132,0.010948,0.00719688,0.00863897,0.0114559,0.00208212,-0.427637,0.00135259,0.0176836,0.014706,0.000274589,0.0136425,0.00251795,0.00764751,0.000448276,0.00106821,0.0411301,0.00644998,0.0308222,0.0161534,-0.310148,0.00100427,0.00842281,0.00165215,0.127431,0.0102938,0.0211713,0.000683702,0.00891218,0.000499387,0.0194894,0.0346191,0.00333134,0.0150766,0.0206283,0.0225116,0.0400379,0.000374387,0.0211258,0.0192967,0.02222,0.000575173
cs,const,-0.00926257,0.0137694,0.000347126,0.0063535,-0.00781484,0.00305893,0.00506269,-0.00911067,-0.00691036,-0.00855624,0.0141581,-0.00026656,-0.00988374,-0.00769162,0.0129745,-0.0120303,0.00700858,-0.0140404,0.0118677,-0.00886989,0.0160105,0.0132465,-0.00247019,-0.0120535,-0.0182034,0.00253339,0.00587535,-0.0114937,0.000316177,-0.00481969,-0.000286875,0.00864841,-0.0104523,0.00856826,0.0043143,0.0138233,-0.0139632,-0.0146911,0.00533602,-0.00439087,0.00574125,0.00143302,0.0100689,0.00878195,-0.000753442,-0.00852062,0.0147969,0.00408058,0.00231227,-0.00706824,-0.0148683,-0.00512999,0.0112551,0.00569144,-0.00364263,-0.0039203,-0.00480248,0.00956136,-0.00324863,0.00715849,0.00156498,-0.00798292,0.00547203,-0.0107081,-0.0889789,0.00756649,-0.00159305,0.00642216,0.00718045,-0.00386897,-0.0103667,0.0130338,0.010893,-0.0123243,0.0139663,-0.00999364,0.0158771,-0.00576456,0.165349,-0.0063554,0.0116178,-0.00293188,-0.00992981,-0.0124501,0.00458256,0.00308993,-0.000356651,0.0027979,-0.0021964,-0.000426698,-0.0112388,0.0116109,-0.00368953,0.00977249,0.0130007,-0.00229923,-0.000141546,0.0106085,0.000685891,-0.0116173
cml,const,-0.0730628,0.108985,0.00280221,0.0513175,-0.0653652,0.0234528,0.0405262,-0.0713581,-0.0569506,-0.0666689,0.110987,-0.00214274,-0.0796047,-0.0602964,0.104913,-0.0938748,0.0557137,-0.109244,0.0934777,-0.0690001,0.135352,0.107768,-0.0192708,-0.101965,-0.150808,0.019687,0.0472045,-0.0902921,0.00249143,-0.0395899,-0.00238309,0.0699318,-0.0813009,0.067956,0.0339257,0.108056,-0.11152,-0.122842,0.0436079,-0.0341986,0.044728,0.0119289,0.078283,0.0684118,-0.00610727,-0.0674494,0.115829,0.033889,0.0175751,-0.059798,-0.117046,-0.041527,0.0901742,0.0445079,-0.0287997,-0.0333665,-0.0400041,0.0778295,-0.0270687,0.0575352,0.0121955,-0.0636211,0.0441879,-0.0833828,-0.758856,0.059185,-0.0129568,0.0519175,0.0558994,-0.0313922,-0.0813274,0.102888,0.0848984,-0.0962876,0.118311,-0.079168,0.132642,-0.0462186,1.41872,-0.0494069,0.0931666,-0.0228234,-0.0777846,-0.0990902,0.0374918,0.0241455,-0.00280602,0.0218333,-0.0179089,-0.00320687,-0.088345,0.0943602,-0.0306626,0.0803035,0.110434,-0.0178737,-0.000477512,0.0867156,0.00562256,-0.0903575
cmd,const,0.0209292,-0.0335299,-0.00119434,-0.0316945,0.0208722,0.0104622,-0.00851015,0.0205221,0.0198339,0.0196461,-0.0347046,0.000704865,0.0236404,0.0174767,-0.0300685,0.0295306,-0.0165364,0.0339288,-0.0291119,0.020533,-0.0380243,-0.0302238,0.0062583,0.0265951,0.0403941,-0.00609545,-0.015835,0.0260175,-0.000617421,0.0131062,0.000476952,-0.0202043,0.0253387,-0.0192905,-0.0100871,-0.0339041,0.0335533,0.0376194,-0.011982,0.0100594,-0.0141827,-0.00245535,-0.0240248,-0.0203479,0.00674377,0.0174736,-0.0362469,-0.00789595,-0.007855,0.0147487,0.0362884,0.0155401,-0.0273354,-0.0127763,0.00677417,0.0106867,0.013683,-0.0133708,0.0087039,-0.0188029,-0.00479533,0.0196344,-0.00109836,0.0261795,0.0337181,-0.0169997,0.0033922,-0.0156569,-0.0165525,0.0124708,0.0234374,-0.0318571,-0.0246566,0.0275738,-0.0320322,0.0229665,-0.0401369,0.031114,-0.0557593,0.0153638,-0.0165999,0.00712243,0.000614283,0.0303254,-0.010305,-0.00685876,0.00121094,-0.00629417,0.00476368,-0.00237298,0.0255064,-0.0284679,0.00693251,-0.0282858,-0.0328186,0.00543477,-0.00831367,-0.0298343,-0.00155521,0.0273892
cms,const,-1.52436,2.16356,-2.50451,-2.82465,-3.82854,2.36742,-1.95035,-0.902678,-3.53089,0.115094,1.63981,-2.20217,2.80455,-1.01114,3.00665,1.27178,-1.99225,0.799088,1.94731,0.0705633,-4.37465,3.23672,1.37595,-4.4957,-4.07051,0.551862,-2.34466,-1.19688,-0.144846,-2.95407,-3.60632,2.95907,0.784023,-1.84544,-1.30817,1.42261,2.52754,-3.96266,3.40922,-0.117528,1.14657,-3.38487,0.497711,0.234913,-2.70266,-1.62639,1.52867,-3.18994,1.13138,-4.69943,1.89379,-2.56552,2.61779,-0.709053,-0.501577,-4.23941,-3.71654,-0.820574,-3.66647,-2.35499,2.10585,-2.08923,-1.36259,1.01502,0.468685,-0.746005,3.15704,2.86725,0.0261441,-2.63804,-1.07236,2.04639,-0.223759,-0.597538,-4.56476,-1.78972,-3.93362,-2.88248,0.671643,0.666988,-1.65541,0.9148,2.81474,2.38555,3.45222,-0.465425,-2.13216,-0.361683,3.31382,-4.20299,-1.25305,-2.73377,-3.24462,-3.35404,-4.45998,0.304905,2.72928,-3.10074,3.53804,0.377937
